launch_service_provider,mission,name,net,pad,rocket,status
United States Air Force,OV2-3,Titan IIIC | OV2-3,12/21/1965 2 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Titan IIIC,Launch Successful
United States Air Force,Transit-O 6,Scout A | Transit-O 6,12/22/1965 4:33 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout A,Launch Successful
United States Air Force,KH-4A 28,Thor SLV-2A Agena D | KH-4A 28,12/24/1965 9:06 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,DSAP-2 F2,Thor Burner 1 | DSAP-2 F2,01/07/1966 4:48 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA",Thor Burner 1,Launch Failure
United States Air Force,KH-7 24,Atlas SLV-3 Agena D | KH-7 24,01/19/1966 8:03 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Transit-O 7,Scout A | Transit-O 7,01/28/1966 5:06 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout A,Launch Successful
United States Air Force,KH-4A 29,Thor SLV-2A Agena D | KH-4A 29,02/02/1966 9:32 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,ESSA 1,Thor Delta C | ESSA 1,02/03/1966 7:41 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta C,Launch Successful
United States Air Force,P-770 Group 3-D 2,Thor SLV-2A Agena D | P-770 Group 3-D 2,02/09/1966 7:45 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,KH-7 25,Atlas SLV-3 Agena D | KH-7 25,02/15/1966 8:30 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,ESSA 2,Thor Delta E | ESSA 2,02/28/1966 1:58 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor Delta E,Launch Successful
United States Air Force,KH-4A 30,Thor SLV-2A Agena D | KH-4A 30,03/09/1966 10:02 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
