launch_service_provider,mission,name,net,pad,rocket,status
Lockheed Martin,UHF F/O F11,Atlas | UHF F/O F11,12/18/2003 2:30 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIIB,Launch Successful
Lockheed Martin,AMC 10,Atlas IIAS | AMC 10,02/05/2004 11:46 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas IIAS,Launch Successful
Lockheed Martin,MBSAT,Atlas Agena B | MBSAT,03/13/2004 5:40 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIIA,Launch Successful
Lockheed Martin,Superbird A2,Atlas IIAS | Superbird A2,04/16/2004 12:45 a.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas IIAS,Launch Successful
Lockheed Martin,AMC 11,Atlas IIAS | AMC 11,05/19/2004 10:22 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIAS,Launch Successful
Lockheed Martin,NROL-1 (Quasar 15),Atlas IIAS | NROL-1,08/31/2004 11:17 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas IIAS,Launch Successful
Lockheed Martin,AMC 16,Atlas V 521 | AMC 16,12/17/2004 12:07 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 521,Launch Successful
Lockheed Martin,NROL-23 (Intruder 7A & 7B),Atlas | NROL-23,02/03/2005 7:41 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIIB,Launch Successful
Lockheed Martin,INMARSAT 4 F1,Atlas V 431 | INMARSAT 4 F1,03/11/2005 9:42 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 431,Launch Successful
Lockheed Martin,Mars Reconnaissance Orbiter,Atlas V 401 | Mars Reconnaissance Orbiter,08/12/2005 11:43 a.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 401,Launch Successful
Lockheed Martin,Astra 1KR,Atlas V 411 | Astra 1KR,04/20/2006 8:27 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 411,Launch Successful
