launch_service_provider,mission,name,net,pad,rocket,status
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-33,11/19/1996 11:20 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 8,Tsiklon-2 | US-PM 8,12/11/1996 noon,"90/19 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-25,Soyuz-U | Soyuz TM-25,02/10/1997 2:09 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-34,04/06/1997 4:04 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Orlets-1 6,Soyuz U | Orlets-1 6,05/15/1997 12:10 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 19,Zenit-2 | Tselina-2 19,05/20/1997 7:07 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Failure
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-35,07/05/1997 4:11 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-26,Soyuz-U | Soyuz TM-26,08/05/1997 3:35 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-36,10/05/1997 3:08 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 9,Tsiklon-2 | US-PM 9,12/09/1997 7:17 a.m.,"90/19 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-37,12/20/1997 8:45 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-27,Soyuz U | Soyuz TM-27,01/29/1998 4:33 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-1KFT 19,Soyuz-U-PVB | Yantar-1KFT 19,02/17/1998 10:35 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-38,03/14/1998 10:45 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-39,05/14/1998 10:12 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 8,Soyuz-U-PVB | Yantar-4KS1M 8,06/25/1998 2 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Resurs-O1,Zenit-2 | Resurs-O1,07/10/1998 6:30 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 20,Zenit-2 | Tselina-2 20,07/28/1998 9:15 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-28,Soyuz-U | Soyuz TM-28,08/13/1998 9:43 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 5, 7, 9 to 13, 16 to 18, 20, 21","Zenit-2 11K77.05 | Globalstar 5, 7, 9 to 13, 16 to 18, 20, 21",09/09/1998 8:29 p.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2 11K77.05,Launch Failure
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-40,10/25/1998 4:14 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 23,36,38,40","Soyuz-U-PVB | Globalstar 23,36,38,40",02/09/1999 3:53 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-29,Soyuz-U | Soyuz TM-29,02/20/1999 4:18 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 22,37,41,46","Soyuz-U-PVB | Globalstar 22,37,41,46",03/15/1999 3:06 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-41,04/02/1999 11:28 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 19,42,44,45","Soyuz-U-PVB | Globalstar 19,42,44,45",04/15/1999 12:46 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-42,07/16/1999 4:37 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Okean-O,Zenit-2 | Okean-O,07/17/1999 5:38 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 33,50,55,58","Soyuz-U-PVB | Globalstar 33,50,55,58",09/22/1999 2:33 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 31,56,57,59","Soyuz-U-PVB | Globalstar 31,56,57,59",10/18/1999 1:32 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),"Globalstar 29,34,39,61","Soyuz-U-PVB | Globalstar 29,34,39,61",11/22/1999 4:20 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U-PVB,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 10,Tsiklon-2 | US-PM 10,12/26/1999 8 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
