launch_service_provider,mission,name,net,pad,rocket,status
SpaceX,Starlink Group 6-13,Falcon 9 Block 5 | Starlink Group 6-13,09/01/2023 2:21 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SDA Tranche 0B,Falcon 9 Block 5 | SDA Tranche 0B,09/02/2023 2:25 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-12,Falcon 9 Block 5 | Starlink Group 6-12,09/04/2023 2:47 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon 9,Launch Successful
Virgin Galactic,Galactic 03,SpaceShipTwo | Galactic 03,09/08/2023 3:22 p.m.,Spaceport America | Air launch to Suborbital flight,SpaceShipTwo,Launch Successful
SpaceX,Starlink Group 6-14,Falcon 9 Block 5 | Starlink Group 6-14,09/09/2023 3:12 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
United Launch Alliance,NROL-107 (Silent Barker),Atlas V 551 | NROL-107 (Silent Barker),09/10/2023 12:47 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 551,Launch Successful
SpaceX,Starlink Group 7-2,Falcon 9 Block 5 | Starlink Group 7-2,09/12/2023 6:57 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
Firefly Aerospace,FLTA003 (VICTUS NOX),Firefly Alpha | FLTA003 (VICTUS NOX),09/15/2023 2:28 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Firefly Alpha,Launch Successful
SpaceX,Starlink Group 6-16,Falcon 9 Block 5 | Starlink Group 6-16,09/16/2023 3:38 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-17,Falcon 9 Block 5 | Starlink Group 6-17,09/20/2023 3:38 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-18,Falcon 9 Block 5 | Starlink Group 6-18,09/24/2023 3:38 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 7-3,Falcon 9 Block 5 | Starlink Group 7-3,09/25/2023 8:48 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-19,Falcon 9 Block 5 | Starlink Group 6-19,09/30/2023 2 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-21,Falcon 9 Block 5 | Starlink Group 6-21,10/05/2023 5:36 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
Virgin Galactic,Galactic 04,SpaceShipTwo | Galactic 04,10/06/2023 4:10 p.m.,Spaceport America | Air launch to Suborbital flight,SpaceShipTwo,Launch Successful
United Launch Alliance,Project Kuiper Protoflight Mission (Atlas V #1),Atlas V 501 | Project Kuiper Protoflight Mission (Atlas V #1),10/06/2023 6:06 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 501,Launch Successful
SpaceX,Starlink Group 7-4,Falcon 9 Block 5 | Starlink Group 7-4,10/09/2023 7:43 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Psyche,Falcon Heavy | Psyche,10/13/2023 2:19 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon Heavy,Launch Successful
SpaceX,Starlink Group 6-22,Falcon 9 Block 5 | Starlink Group 6-22,10/13/2023 11:01 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-23,Falcon 9 Block 5 | Starlink Group 6-23,10/18/2023 12:39 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 7-5,Falcon 9 Block 5 | Starlink Group 7-5,10/21/2023 8:23 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-24,Falcon 9 Block 5 | Starlink Group 6-24,10/22/2023 2:17 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 7-6,Falcon 9 Block 5 | Starlink Group 7-6,10/29/2023 9 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-25,Falcon 9 Block 5 | Starlink Group 6-25,10/30/2023 11:20 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
Virgin Galactic,Galactic 05,SpaceShipTwo | Galactic 05,11/02/2023 3:44 p.m.,Spaceport America | Air launch to Suborbital flight,SpaceShipTwo,Launch Successful
SpaceX,Starlink Group 6-26,Falcon 9 Block 5 | Starlink Group 6-26,11/04/2023 12:37 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-27,Falcon 9 Block 5 | Starlink Group 6-27,11/08/2023 5:05 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Dragon CRS-2 SpX-29,Falcon 9 Block 5 | Dragon CRS-2 SpX-29,11/10/2023 1:28 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon 9,Launch Successful
SpaceX,Transporter 9 (Dedicated SSO Rideshare),Falcon 9 Block 5 | Transporter 9 (Dedicated SSO Rideshare),11/11/2023 6:49 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
